candidate_id,rank,score,reasoning
CAND_0077337,1,898.46,"Staff Machine Learning Engineer with 7.0 years in Kochi, Kerala; key relevant skills include Semantic Search, pgvector, Pinecone, BM25. Career evidence includes Staff Machine Learning Engineer at Paytm and Senior NLP Engineer at Razorpay; open to work, response rate 0.95, notice period 60 days."
CAND_0081846,2,779.24,"Lead AI Engineer with 6.7 years in Jaipur, Rajasthan; key relevant skills include Information Retrieval, pgvector, Learning to Rank, Elasticsearch. Career evidence includes Lead AI Engineer at Razorpay and Senior Machine Learning Engineer at Paytm; open to work, response rate 0.73, notice period 30 days."
CAND_0018499,3,754.0,"Senior Machine Learning Engineer with 7.2 years in Noida, Uttar Pradesh; key relevant skills include Weaviate, Recommendation Systems, Pinecone, Information Retrieval. Career evidence includes Senior Machine Learning Engineer at Zomato and Staff Machine Learning Engineer at Google; open to work, response rate 0.61, notice period 15 days."
CAND_0071974,4,732.3,"Senior AI Engineer with 7.8 years in Vizag, Andhra Pradesh; key relevant skills include Learning to Rank, Weaviate, BM25, Pinecone. Career evidence includes Senior AI Engineer at Netflix and Staff Machine Learning Engineer at Meta; open to work, response rate 0.76, notice period 45 days."
CAND_0046064,5,667.4,"Senior NLP Engineer with 8.9 years in Coimbatore, Tamil Nadu; key relevant skills include Python, Pinecone, BM25, OpenSearch. Career evidence includes Senior NLP Engineer at Salesforce and Lead AI Engineer at Verloop.io; open to work, response rate 0.78, notice period 30 days."
CAND_0008425,6,665.46,"Senior NLP Engineer with 7.8 years in Kolkata, West Bengal; key relevant skills include Learning to Rank, Qdrant, pgvector, Sentence Transformers. Career evidence includes Senior NLP Engineer at Ola and Senior ML Engineer — Search & Ranking at Zomato; open to work, response rate 0.66, notice period 90 days."
CAND_0046525,7,652.38,"Senior Machine Learning Engineer with 6.1 years in Pune, Maharashtra; key relevant skills include Elasticsearch, Information Retrieval, LLMs, NLP. Career evidence includes Senior Machine Learning Engineer at LinkedIn; open to work, response rate 0.88, notice period 60 days."
CAND_0086022,8,638.2,"Senior Applied Scientist with 5.3 years in Kolkata, West Bengal; key relevant skills include Vector Search, Recommendation Systems, pgvector, Fine-tuning LLMs. Career evidence includes Senior Applied Scientist at Sarvam AI; open to work, response rate 0.55, notice period 0 days."
CAND_0088025,9,636.58,"Staff Machine Learning Engineer with 8.6 years in Jaipur, Rajasthan; key relevant skills include Pinecone, LLMs, RAG, BM25. Career evidence includes Staff Machine Learning Engineer at Yellow.ai and Staff Machine Learning Engineer at Niramai; open to work, response rate 0.83, notice period 90 days."
CAND_0002025,10,621.7,"Senior AI Engineer with 5.9 years in Trivandrum, Kerala; key relevant skills include FAISS, OpenSearch, Weaviate, Sentence Transformers. Career evidence includes Senior AI Engineer at Apple and Lead AI Engineer at Aganitha; open to work, response rate 0.80, notice period 30 days."
